Feature,Chi2 Score,Mutual Info
Contract,557.8900834864629,0.09812933603856533
tenure,226.09616229787719,0.08381122175967337
OnlineSecurity,275.80576453278263,0.06653130333163215
TechSupport,261.6519330059843,0.06587856331190389
OnlineBackup,115.04326008741134,0.05047220738968705
InternetService,4.910514117088682,0.047024731882156834
DeviceProtection,95.65156988951671,0.0464700947866552
MonthlyCharges,50.99537082443217,0.04586180739093648
PaymentMethod,19.497416827135744,0.04474146413617963
StreamingMovies,4.117699743375936,0.04175221086865455
StreamingTV,3.7451015925760496,0.03466310189942079
TotalCharges,0.24754717020243336,0.03251978177206327
PaperlessBilling,105.68086299962546,0.017362446217229488
Dependents,133.03644287868082,0.012040800335521906
Partner,82.41208263843048,0.004903790276725051
MultipleLines,4.873460391701242,0.004394910575671984
PhoneService,0.09726062494293952,0.004035170061643667
gender,0.2586986175941518,0.0
