accuracy,precision,recall,f1,roc_auc,threshold,model,threshold_type
0.7877927608232789,0.5949367088607594,0.6283422459893048,0.611183355006502,0.8448371179828981,0.6700000000000004,logistic_regression,recall
0.7707594038325053,0.5532359081419624,0.7085561497326203,0.6213364595545134,0.8450050375881578,0.47000000000000014,xgboost,recall
0.7402413058907026,0.508695652173913,0.6256684491978609,0.5611510791366906,0.7868712702472294,0.5200000000000002,decision_tree,recall
0.7828246983676366,0.5723404255319149,0.7192513368983957,0.6374407582938388,0.8462683096954196,0.5400000000000003,ensemble,recall
0.7877927608232789,0.5949367088607594,0.6283422459893048,0.611183355006502,0.8448371179828981,0.6700000000000004,logistic_regression,f1
0.7707594038325053,0.5532359081419624,0.7085561497326203,0.6213364595545134,0.8450050375881578,0.47000000000000014,xgboost,f1
0.7402413058907026,0.508695652173913,0.6256684491978609,0.5611510791366906,0.7868712702472294,0.5200000000000002,decision_tree,f1
0.7828246983676366,0.5723404255319149,0.7192513368983957,0.6374407582938388,0.8462683096954196,0.5400000000000003,ensemble,f1
